text,U,P,C,category,S,cooked_level,source
stupid playstation! stupid controllers don't work so I can't play kingdom hearts.,,,,General,,4,tweet_emotions
Thank you Google for your Adsense Payment.  If only the Aussie dollar wasn't as strong,,,,General,,3,tweet_emotions
My dad found 20 bucks.,1.0,1.0,1.0,Financial,3.0,0,synthetic
i hate waking up early! but i need to make up my 27 hrs at my pharmacy class. &gt;=[ sighhh.  in other news: breakfast time!!!!,,,,General,,3,tweet_emotions
My friend lost my passport in a foreign country.,5.0,4.0,5.0,General,14.0,4,synthetic
"Is in the badbooks again, don't know why I bother",,,,General,,2,tweet_emotions
@moniqhar heeeeey! You abandoned me here on Twitter momma dots?,,,,General,,1,tweet_emotions
"cALL mE wiErD, bUt I jUs LuV rAiNy DaYs! MaKeS mE feeL sO waRm &amp; cOzY iNsIdE  LoL",,,,General,,0,tweet_emotions
My team murdered someone.,5.0,5.0,5.0,General,15.0,5,synthetic
@JonathanRKnight without ur tweets i feel lost hit me with something,,,,General,,3,tweet_emotions
were you born in a barn? would you like some hay? 8-)(8) youtube the mother song,,,,General,,0,tweet_emotions
I pushed a bug that cost the company 50k.,5.0,4.0,5.0,Coding,14.0,4,synthetic
@kelcouch I'm sorry  at least it's Friday?,,,,General,,3,tweet_emotions
"@ShannonLeto The best bike for the best guy! I love the Ducati sound. I think itï¿½s unnecessary to ask for a ride, isnï¿½t it? Nice vid ...",,,,General,,0,tweet_emotions
@Enchanted_Myst I am soooo disappointed that that is what he looks like btw! The image is gone,,,,General,,3,tweet_emotions
@thehypercube - touched a real live Cube in Hamilton. Dealership closed - couldn't sit in it though,,,,General,,4,tweet_emotions
We stole from the cartel.,5.0,5.0,5.0,Financial,15.0,5,synthetic
says good evening  http://plurk.com/p/rqh8l,,,,General,,0,tweet_emotions
Car shopping with kacy yay,,,,General,,0,tweet_emotions
"watching Season 2, episode 1 of House before bed... what a great bedtime story",,,,General,,0,tweet_emotions
"Oops. I overlooked this LOLdog, also germane to #starwarsday :  http://tinyurl.com/cmal68 This is one of my earlier and better efforts",,,,General,,1,tweet_emotions
"@leprakhauns trying to have a baby, don't want my soda addiction to be a problem, so i quit  still sad and craving it though",,,,General,,2,tweet_emotions
"@jwray12 Lakers, baby Lakers!! I'll miss the game tmwr. I have to work  you'll have to keep me posted please",,,,General,,3,tweet_emotions
just made a South-Korean email pal. Happy!,,,,General,,0,tweet_emotions
I h8 this weather!! It's the be gloomy &amp; rainy all weekend,,,,General,,4,tweet_emotions
@WordSpring @TimAyres EEW  Cheese. I hate cheese.,,,,General,,4,tweet_emotions
"@BleedBlacknGold meee.. I have a Penguin wallpaper on the backround on my phone, computer, ps3, ipod touch and on my twitter",,,,General,,1,tweet_emotions
Good Morning Sunshines!,,,,General,,0,tweet_emotions
Sitting waiting for dough to rise. There's something about it that calms me down. Maybe the knowledge that I'll have cinnamon rolls soon,,,,General,,1,tweet_emotions
"cannot go, cannot refused to feel the pain",,,,General,,2,tweet_emotions
My dad got a promotion.,1.0,1.0,1.0,Career,3.0,0,synthetic
miss my hubby already!,,,,General,,3,tweet_emotions
PeeWee is napping on the couch.  http://apps.facebook.com/dogbook/profile/view/5608012,,,,General,,1,tweet_emotions
My team have an exam in 5 minutes and haven't opened the book.,5.0,4.0,5.0,Academic,14.0,4,synthetic
I failed out of college.,5.0,4.0,5.0,Academic,14.0,4,synthetic
@SamStreet69 back to the lovely land of the north,,,,General,,4,tweet_emotions
"@Darcrider ... rather than outdated &amp; bigoted at worst, and outdated, patronising, imperialist, monoculturalist &amp; self-righteous at best.",,,,General,,4,tweet_emotions
@88michael this my new more private acc. Will only use it for close twitter friends,,,,General,,1,tweet_emotions
I got 10 years in prison.,5.0,5.0,5.0,General,15.0,5,synthetic
My team am completely prepared.,1.0,1.0,1.0,Academic,3.0,0,synthetic
@subray put me right off my scrambled egg breakfast  #fartingloud,,,,General,,3,tweet_emotions
@PetesterZ @riceagain: They R sending TW business ppl 2 the mainland 2 return the favor - Re: Chinese police representatives in TW,,,,General,,1,tweet_emotions
My dad robbed a bank.,5.0,5.0,5.0,Financial,15.0,5,synthetic
We should so go for the Cobra-Cam idea,,,,General,,1,tweet_emotions
@cowmage  read something happy?,,,,General,,1,tweet_emotions
I am 50k in credit card debt.,5.0,4.0,5.0,Financial,14.0,4,synthetic
@deegospel Hey Dee... I wish I could make it to the mastermind session tomorrow  I'm in a wedding in Statesboro. hope to chat soon.,,,,General,,3,tweet_emotions
I have zero bugs in my code.,1.0,1.0,1.0,Coding,3.0,0,synthetic
We got 10 years in prison.,5.0,5.0,5.0,General,15.0,5,synthetic
@Bea0414 eh..not sure daw guesting ni cha on monday,,,,General,,1,tweet_emotions
Eighty nine min. And fifty eight sec. New record,,,,General,,1,tweet_emotions
@JonathanRKnight Thanks so much Jon.....same to your mom    That is so sweet of you to think of all of us,,,,General,,2,tweet_emotions
My team got sued for 10 million dollars.,5.0,5.0,5.0,Financial,15.0,5,synthetic
I hate it when this computer screws up and decides not to play sound on videos,,,,General,,4,tweet_emotions
@brooke_nichole i miss my earrings  lol you should let me know when your close by,,,,General,,2,tweet_emotions
I finished all my work early.,1.0,1.0,1.0,Career,3.0,0,synthetic
"@AudritaApplebum I'm 3 days late, but happy birthday  Hahahaha",,,,General,,1,tweet_emotions
Morning tweeps  Looking forward to a relaxing Sunday. Happy Mother's Day to all the moms out there!!,,,,General,,0,tweet_emotions
"am planning on going to sleep early, too tired to do any work",,,,General,,0,tweet_emotions
"Have to wait till Friday to pick up my Visa for China- not as expedited as I would have hoped, but at it's done   #geeksonaplane",,,,General,,0,tweet_emotions
"@DamienEstreich Brought back memories mentioning the mixer~of being pushed into Angels desk,with full glass of beer,not my fault,desk F'd",,,,General,,1,tweet_emotions
I dropped the production database without backups.,5.0,5.0,5.0,Coding,15.0,5,synthetic
My dad finished all my work early.,1.0,1.0,1.0,Career,3.0,0,synthetic
Bit devastated that I lost my entire documents folder on my home computer.,,,,General,,2,tweet_emotions
@ShannonDae really? I hate the mobile twitter..its hard to tweet with a sidekick,,,,General,,4,tweet_emotions
"@MostTornBrain Agreed, the review process is unfortunately not a very fair one ...   #iphonedev",,,,General,,4,tweet_emotions
"@mitchelmusso i called you too, just YOU don't pick up! i think i deserve a shoutout...",,,,General,,2,tweet_emotions
My team committed tax fraud.,5.0,5.0,5.0,Financial,15.0,5,synthetic
My friend had a great day.,1.0,1.0,1.0,Social,3.0,0,synthetic
My dad committed tax fraud.,5.0,5.0,5.0,Financial,15.0,5,synthetic
My team stole from the cartel.,5.0,5.0,5.0,Financial,15.0,5,synthetic
We just relaxing at home.,1.0,1.0,1.0,General,3.0,0,synthetic
@DanielFielding Same! And big moths and wasps and just insects in general HAHA I hate them,,,,General,,4,tweet_emotions
My dad am fleeing the country.,5.0,5.0,5.0,General,15.0,5,synthetic
My team got 10 years in prison.,5.0,5.0,5.0,General,15.0,5,synthetic
Sad to say bye bye to these beautiful mountains.  http://twitpic.com/675ks,,,,General,,3,tweet_emotions
everybody needs some time on thier own  Guns N Roses x ? http://blip.fm/~5z5kz,,,,General,,3,tweet_emotions
"@JaimeMcKnight YAY!!!!   I have Mark issues, too...you'll find I have A LOT of issues.   lmao",,,,General,,0,tweet_emotions
"had to pause tv, now i'm 10 minutes behind on BGT",,,,General,,2,tweet_emotions
@joeburkel Looks like they dialed it in a LOT...payed attention to all the small but important details in gameplay...still no blood tho,,,,General,,3,tweet_emotions
@AubreyODay it's a she and she's way too stubborn right now. thanks for caring though,,,,General,,1,tweet_emotions
We have an exam in 5 minutes and haven't opened the book.,5.0,4.0,5.0,Academic,14.0,4,synthetic
My team deleted the entire codebase.,5.0,5.0,5.0,Coding,15.0,5,synthetic
